"Species","Suspect","ID"
"Domestic dog","Yes",443
"Domestic dog","Yes",442
"Domestic dog","Yes",445
"Domestic dog","Yes",444
"Domestic dog","Yes",449
"Wildlife: Jackal","Yes",447
"Domestic dog","Yes",452
"Domestic dog","Yes",453
"Wildlife: Jackal","Yes",451
"Domestic dog","Yes",446
"Wildlife: Jackal","Yes",448
"Domestic dog","Yes",450
"Wildlife: Jackal","Yes",426
"Cat","Yes",459
"Domestic dog","Yes",454
"Domestic dog","Yes",455
"Domestic dog","Yes",457
"Domestic dog","Yes",458
"Domestic dog","Yes",456
"Domestic dog","Yes",460
"Domestic dog","Yes",462
"Domestic dog","Yes",461
"Domestic dog","Yes",463
"Domestic dog","Yes",466
"Domestic dog","Yes",464
"Domestic dog","Yes",470
"Domestic dog","Yes",469
"Domestic dog","Yes",465
"Domestic dog","Yes",471
"Domestic dog","Yes",467
"Domestic dog","Yes",472
"Domestic dog","Yes",468
"Domestic dog","Yes",473
"Wildlife: Jackal","Yes",479
"Domestic dog","Yes",476
"Domestic dog","Yes",477
"Wildlife: Jackal","Yes",474
"Domestic dog","Yes",475
"Domestic dog","Yes",478
"Domestic dog","Yes",487
"Domestic dog","Yes",488
"Domestic dog","Yes",480
"Wildlife: Jackal","Yes",485
"Wildlife: Jackal","Yes",484
"Wildlife: Jackal","Yes",486
"Wildlife: Jackal","Yes",481
"Domestic dog","Yes",482
"Domestic dog","Yes",489
"Domestic dog","Yes",491
"Domestic dog","Yes",490
"Domestic dog","Yes",492
"Domestic dog","Yes",530
"Domestic dog","Yes",533
"Domestic dog","Yes",535
"Domestic dog","Yes",531
"Domestic dog","Yes",532
"Wildlife: Jackal","Yes",534
"Wildlife: Jackal","Yes",537
"Domestic dog","Yes",546
"Domestic dog","Yes",542
"Domestic dog","Yes",543
"Domestic dog","Yes",539
"Domestic dog","Yes",544
"Domestic dog","Yes",540
"Domestic dog","Yes",536
"Domestic dog","Yes",545
"Domestic dog","Yes",538
"Domestic dog","Yes",541
"Domestic dog","Yes",549
"Domestic dog","Yes",566
"Domestic dog","Yes",550
"Domestic dog","Yes",551
"Domestic dog","Yes",548
"Domestic dog","Yes",563
"Domestic dog","Yes",564
"Domestic dog","Yes",565
"Domestic dog","Yes",560
"Wildlife: Jackal","Yes",553
"Domestic dog","Yes",554
"Domestic dog","Yes",562
"Domestic dog","Yes",552
"Domestic dog","Yes",547
"Domestic dog","Yes",557
"Domestic dog","Yes",558
"Domestic dog","Yes",559
"Domestic dog","Yes",561
"Domestic dog","Yes",555
"Wildlife: Jackal","Yes",800
"Wildlife: Jackal","Yes",802
"Domestic dog","Yes",803
"Domestic dog","Yes",804
"Wildlife: Jackal","Yes",809
"Domestic dog","Yes",822
"Domestic dog","Yes",813
"Domestic dog","Yes",818
"Domestic dog","Yes",817
"Domestic dog","Yes",814
"Domestic dog","Yes",823
"Domestic dog","Yes",821
"Domestic dog","Yes",815
"Domestic dog","Yes",824
"Domestic dog","Yes",827
"Domestic dog","Yes",833
"Domestic dog","Yes",828
"Domestic dog","Yes",829
"Domestic dog","Yes",830
"Domestic dog","Yes",831
"Domestic dog","Yes",832
"Wildlife: Jackal","Yes",841
"Wildlife: Jackal","Yes",847
"Wildlife: Jackal","Yes",845
"Wildlife: Jackal","Yes",844
"Wildlife: Jackal","Yes",849
"Wildlife: Jackal","Yes",848
"Wildlife: Jackal","Yes",842
"Wildlife: Jackal","Yes",846
"Domestic dog","Yes",843
"Wildlife: Jackal","Yes",904
"Domestic dog","Yes",855
"Domestic dog","Yes",856
"Domestic dog","Yes",854
"Domestic dog","Yes",857
"Wildlife: Hyena","Yes",861
"Wildlife: Jackal","Yes",873
"Domestic dog","Yes",864
"Wildlife: Jackal","Yes",863
"Domestic dog","Yes",879
"Domestic dog","Yes",891
"Domestic dog","Yes",896
"Domestic dog","Yes",892
"Domestic dog","Yes",894
"Domestic dog","Yes",893
"Domestic dog","Yes",890
"Domestic dog","Yes",897
"Domestic dog","Yes",895
"Domestic dog","Yes",898
"Domestic dog","Yes",899
"Domestic dog","Yes",903
"Domestic dog","Yes",905
"Domestic dog","Yes",900
"Domestic dog","Yes",901
"Domestic dog","Yes",902
"Wildlife: Jackal","Yes",909
"Domestic dog","Yes",908
"Domestic dog","Yes",910
"Domestic dog","Yes",907
"Domestic dog","Yes",911
"Domestic dog","Yes",918
"Domestic dog","Yes",919
"Domestic dog","Yes",922
"Domestic dog","Yes",925
"Domestic dog","Yes",921
"Domestic dog","Yes",928
"Domestic dog","Yes",926
"Domestic dog","Yes",924
"Domestic dog","Yes",912
"Domestic dog","Yes",920
"Domestic dog","Yes",914
"Domestic dog","Yes",915
"Domestic dog","Yes",927
"Domestic dog","Yes",906
