"Year","Grp_species","Longitude","Latitude"
2012,"Wildlife",39.5051852411735,-8.86733432635794
2011,"Wildlife",38.1503392193347,-10.8948970747047
2013,"Wildlife",39.500404868188,-10.3404921282247
2012,"Wildlife",39.582907253661,-10.7106719442724
2011,"Wildlife",38.9125302140265,-10.6553796070125
2012,"Wildlife",37.0940888496567,-10.1723734636983
2012,"Domestic Dog",37.7695729655354,-9.14795858914369
2011,"Domestic Dog",38.5796516757228,-9.75873284582232
2012,"Wildlife",38.9786787730881,-9.60897525157365
2011,"Domestic Dog",39.5161050124434,-10.2845185173131
2014,"Domestic Dog",37.9445979518743,-9.52607100894371
2012,"Domestic Dog",38.3851191536239,-9.76197334872776
2011,"Domestic Dog",37.0657109025097,-10.1642408177523
2011,"Domestic Dog",37.8641023080726,-8.14367605530202
2015,"Domestic Dog",38.1827085246285,-10.8466995103862
2014,"Domestic Dog",38.3355646078805,-9.7021887337218
2011,"Domestic Dog",38.1528976310955,-9.16710239571894
2011,"Wildlife",39.1816291880726,-9.73642458342142
2011,"Domestic Dog",39.4311399950141,-10.4255779199795
2014,"Wildlife",38.7202039467533,-8.64599908518697
2011,"Domestic Dog",37.1272792945839,-9.98398382389482
2014,"Domestic Dog",38.711236436494,-8.69691547968412
2012,"Domestic Dog",39.4587557042304,-9.8841788977921
2014,"Wildlife",37.8369184594585,-8.48864533000933
2011,"Wildlife",37.3897938223975,-9.45062156943742
2014,"Wildlife",39.2574375755755,-8.93270608867748
2011,"Wildlife",39.2769514776692,-9.04133300916148
2011,"Wildlife",38.1478693516591,-11.2381131833378
2016,"Wildlife",38.0122294719726,-9.67596531623224
2011,"Domestic Dog",38.1840334473638,-11.0806985771885
2011,"Wildlife",39.0191146520736,-9.17444745205812
2013,"Wildlife",38.4484188778572,-8.86734846514085
2011,"Domestic Dog",37.3490282505996,-9.50255046600327
2016,"Wildlife",38.0512309406067,-11.1161819326668
2016,"Domestic Dog",38.2645126327979,-8.28680625816254
2011,"Wildlife",39.2847358683027,-10.5281425378628
2011,"Wildlife",38.6929712351746,-9.46703239731368
2011,"Wildlife",37.9179634633157,-8.12990394189183
2016,"Wildlife",37.7041670515856,-9.49689945235314
2011,"Wildlife",38.0992909043603,-8.11903765591152
2011,"Wildlife",39.6328212478527,-10.6630921735215
2011,"Domestic Dog",40.3180341067985,-10.5068607272446
2011,"Domestic Dog",38.6390285958563,-9.22750923807979
2014,"Wildlife",37.6765105586945,-9.14931349822626
2014,"Domestic Dog",38.3065374612427,-9.7427726705536
2014,"Wildlife",38.6103864904117,-8.74852555984084
2013,"Wildlife",39.8198716864862,-10.5756294011327
2011,"Wildlife",38.7848986250583,-8.94971395717294
2011,"Domestic Dog",37.9012706081904,-10.3614012337415
2011,"Wildlife",39.3049576425851,-10.8981023832063
2012,"Domestic Dog",37.9498037258608,-8.66690383562759
2014,"Domestic Dog",40.0419338203201,-10.3116267163701
2011,"Domestic Dog",39.2463208351866,-9.36224088622902
2011,"Domestic Dog",38.6172978589148,-8.60204455955865
2011,"Wildlife",37.4664039432498,-8.58210899006626
2011,"Domestic Dog",38.6016848122671,-8.72478153340977
2012,"Domestic Dog",37.6518262259677,-9.99818932702988
2011,"Domestic Dog",38.3370207770198,-8.24322394102541
2011,"Wildlife",38.6099546231477,-9.40529174693264
2012,"Domestic Dog",37.7820175024618,-8.44896705428028
2012,"Domestic Dog",38.1997648803382,-10.5530886059007
2012,"Domestic Dog",38.9459541880662,-9.42611233574863
2012,"Domestic Dog",38.7189332490262,-10.8740839033941
2012,"Domestic Dog",40.4180729561493,-10.3314154028636
2012,"Domestic Dog",38.6553388805421,-9.42972094280849
2011,"Domestic Dog",37.2844780127068,-9.571145977939
2012,"Domestic Dog",39.7274693081491,-10.9190902330776
2014,"Domestic Dog",39.4470717164283,-9.28222210676727
2012,"Domestic Dog",38.1708389271787,-11.2388021487667
2012,"Domestic Dog",38.2777072637381,-9.57698019529068
2012,"Domestic Dog",39.2228203099327,-8.46899300763026
2012,"Domestic Dog",38.702957948413,-9.90568049166847
2013,"Domestic Dog",39.8565434117408,-10.4267497478901
2012,"Domestic Dog",39.9233593516097,-10.7684894986712
2013,"Domestic Dog",39.8495818403868,-10.0672922114301
2011,"Domestic Dog",38.9323737731245,-10.7557831357843
2015,"Domestic Dog",38.348688810265,-8.41903067181559
2012,"Domestic Dog",39.3760657321736,-8.74398172957996
2011,"Domestic Dog",38.6081212655983,-9.33103629940474
2012,"Domestic Dog",39.0073659275263,-8.61163917383435
2011,"Wildlife",39.0034781495041,-10.2899201133873
2011,"Domestic Dog",37.5452742932797,-9.27225125269449
2012,"Domestic Dog",37.7283276802903,-9.64853011968201
2011,"Domestic Dog",38.0216554931646,-10.4513658485115
2012,"Domestic Dog",38.9480001703363,-8.59359700516841
2011,"Domestic Dog",38.6923217708709,-9.2024688936371
2012,"Domestic Dog",38.055911496641,-9.04585307435491
2012,"Domestic Dog",39.3051714922733,-10.1733794189522
2012,"Domestic Dog",39.7220210846882,-10.0306753936091
2015,"Wildlife",39.2041743502264,-10.8710290361193
2011,"Domestic Dog",39.3407651578143,-8.8156907931787
2012,"Domestic Dog",37.5998989497273,-9.55382279851778
2011,"Domestic Dog",39.0873285222441,-10.8055244062427
2012,"Domestic Dog",37.6697098170024,-8.95103905666362
2014,"Wildlife",37.4812188931445,-10.0148074628631
2014,"Wildlife",37.7993561369952,-10.0852966166273
2011,"Wildlife",39.5047004363248,-9.7087808901334
2016,"Wildlife",38.376547914121,-9.07139418521111
2015,"Wildlife",38.7657520275271,-10.2342804054465
2011,"Wildlife",38.4689628743987,-9.74357627178019
2014,"Wildlife",40.1094928841292,-10.2452111793375
2012,"Domestic Dog",37.7351419840636,-8.4970587156742
2014,"Wildlife",37.3335191005196,-10.3698239584361
2015,"Wildlife",37.7742649251765,-10.3062920060545
2013,"Wildlife",39.0101518393276,-9.88372068973187
2011,"Wildlife",37.6658754170869,-9.22526676576382
2013,"Wildlife",38.9441457887102,-9.92741713469622
2013,"Wildlife",38.4791318771315,-9.32323086679896
2012,"Domestic Dog",37.5932968576332,-9.91240304556968
2015,"Wildlife",36.9796328775674,-9.88008401527289
2011,"Domestic Dog",38.2587515562893,-8.68033762526288
2011,"Domestic Dog",38.1300777664298,-11.2536910637361
2011,"Wildlife",38.5091366369766,-10.755705609423
2014,"Wildlife",37.1290148620829,-10.2947550066911
2014,"Domestic Dog",38.1255397338291,-10.1363417110512
2012,"Domestic Dog",39.3289238920068,-8.68397043070689
2011,"Domestic Dog",39.1234498590033,-10.6999741495124
2013,"Wildlife",37.825040602846,-8.32347313461054
2013,"Wildlife",37.5196066921759,-8.79822774902842
2011,"Wildlife",39.1633630665702,-11.0328058535986
2014,"Wildlife",38.9770176971066,-8.87418801860671
2015,"Wildlife",37.2599344954541,-9.66006803842341
2012,"Wildlife",37.9077084089027,-8.93555348732732
2012,"Domestic Dog",38.1805863911807,-8.5712122948292
2011,"Wildlife",37.973895941252,-8.74284638872015
2011,"Domestic Dog",38.4594955057636,-8.74666414086994
2013,"Domestic Dog",39.3840608313821,-10.5186620376196
2014,"Wildlife",37.5190099439467,-9.20545032833845
2012,"Domestic Dog",37.9232417477198,-10.0503159288004
2012,"Domestic Dog",39.3252986401026,-9.19302353586465
2014,"Wildlife",38.5890432196161,-8.58116938419958
2012,"Domestic Dog",39.5978006356213,-9.73537313316043
2011,"Domestic Dog",38.4938784145456,-11.2545764181904
2014,"Wildlife",38.4504779675298,-10.3848876891021
2012,"Wildlife",38.4105017811419,-10.3413432741924
2011,"Wildlife",38.0188752931597,-8.41948576307916
2013,"Wildlife",37.9366370917995,-9.5531439008047
2013,"Domestic Dog",39.2394552443287,-10.7963522311136
