Region,District,Ward,Village,shpDistrict,shpWard,shpVillage,Population,Notes
Morogoro,Kilombero,Ifakara,Lipangalala,Kilombero,Ifakara,Lipangalala,10825,
Morogoro,Kilombero,Ifakara,Ifakara,Kilombero,Ifakara,Ifakara,13234,
Morogoro,Kilombero,Lumemo,Lumemo,Kilombero,Lumemo,Lumemo,7092,
Morogoro,Kilombero,Lumemo,Mahutanga,Kilombero,Lumemo,Mahutanga,2556,
Morogoro,Kilombero,Lumemo,Ihanga,Kilombero,Lumemo,Ihanga,4031,
Morogoro,Kilombero,Lumemo,Michenga,Kilombero,Lumemo,Michenga,4120,
Morogoro,Kilombero,Lumemo,Machipi,Kilombero,Lumemo,Machipi,1617,
Morogoro,Kilombero,Lumemo,Kining'ina,Kilombero,Lumemo,Kining'ina,2183,
Morogoro,Kilombero,Idete,Idete,Kilombero,Idete,Idete,6543,
Morogoro,Kilombero,Idete,Miwangani,Kilombero,Idete,Miwangani,3028,
Morogoro,Kilombero,Idete,Namwawala,Kilombero,Idete,Namwawala,9551,
Morogoro,Kilombero,Idete,Kisegese,Kilombero,Idete,Kisegese,2526,
Morogoro,Kilombero,Mbingu,Mpofu,Kilombero,Mbingu,Mpofu,3282,
Morogoro,Kilombero,Mbingu,Mbingu,Kilombero,Mbingu,Mbingu,10483,
Morogoro,Kilombero,Mbingu,Igima,Kilombero,Mbingu,Igima,8952,
Morogoro,Kilombero,Mofu,Mofu,Kilombero,Mofu,Mofu,9777,
Morogoro,Kilombero,Mofu,Ikwambi,Kilombero,Mofu,Ikwambi,1945,
Morogoro,Kilombero,Mchombe,Njagi,Kilombero,Mchombe,Njagi,2934,
Morogoro,Kilombero,Mchombe,Mchombe,Kilombero,Mchombe,Mchombe,7562,
Morogoro,Kilombero,Mchombe,Lukolongo,Kilombero,Mchombe,Lukolongo,6734,
Morogoro,Kilombero,Mchombe,Mngeta,Kilombero,Mchombe,Mngeta,6685,
Morogoro,Kilombero,Mchombe,Mkangawalo,Kilombero,Mchombe,Mkangawalo,9449,
Morogoro,Kilombero,Mchombe,Ikule,Kilombero,Mchombe,Ikule,5287,
Morogoro,Kilombero,Chita,Merera,Kilombero,Chita,Merera,4919,
Morogoro,Kilombero,Chita,Udagaji,Kilombero,Chita,Udagaji,2377,
Morogoro,Kilombero,Chita,Chita,Kilombero,Chita,Chita,15367,
Morogoro,Kilombero,Chisano,Chisano,Kilombero,Chisano,Chisano,3961,
Morogoro,Kilombero,Chisano,Mgugwe,Kilombero,Chisano,Mgugwe,1776,
Morogoro,Kilombero,Mlimba,Kalengakelu,Kilombero,Mlimba,Kalengakelu,7406,
Morogoro,Kilombero,Mlimba,Msolwa,Kilombero,Mlimba,Msolwa,1646,
Morogoro,Kilombero,Mlimba,Mwembeni,Kilombero,Mlimba,Mwembeni,2679,
Morogoro,Kilombero,Mlimba,Viwanja sitini,Kilombero,Mlimba,Viwanja sitini,5192,
Morogoro,Kilombero,Mlimba,Matema,Kilombero,Mlimba,Matema,4529,
Morogoro,Kilombero,Mlimba,Mlimba 'A',Kilombero,Mlimba,Mlimba 'A',7449,
Morogoro,Kilombero,Mlimba,Mlimba 'B',Kilombero,Mlimba,Mlimba 'B',4796,
Morogoro,Kilombero,Mlimba,Kamwene,Kilombero,Mlimba,Kamwene,4410,
Morogoro,Kilombero,Utengule,Mpanga,Kilombero,Utengule,Mpanga,3410,
Morogoro,Kilombero,Utengule,Ngalimila,Kilombero,Utengule,Ngalimila,4762,
Morogoro,Kilombero,Utengule,Utengule,Kilombero,Utengule,Utengule,2391,
Morogoro,Kilombero,Masagati,Ipinde,Kilombero,Masagati,Ipinde,2292,
Morogoro,Kilombero,Masagati,Tanganyika,Kilombero,Masagati,Tanganyika,2486,
Morogoro,Kilombero,Masagati,Taweta,Kilombero,Masagati,Taweta,2343,
Morogoro,Kilombero,Uchindile,Kitete,Kilombero,Uchindile,Kitete,208,
Morogoro,Kilombero,Uchindile,Uchindile,Kilombero,Uchindile,Uchindile,1336,
Morogoro,Kilombero,Uchindile,Lugala,Kilombero,Uchindile,Lugala,727,
Morogoro,Ulanga,Minepa,Kivukoni,Ulanga,Minepa,Kivukoni,7640,
Morogoro,Ulanga,Minepa,Minepa,Ulanga,Minepa,Minepa,4739,
Morogoro,Ulanga,Minepa,Mavimba,Ulanga,Minepa,Mavimba,3888,
Morogoro,Ulanga,Lupiro,Milola,Ulanga,Lupiro,Milola,2322,
Morogoro,Ulanga,Lupiro,Igumbiro kati,Ulanga,Lupiro,Igumbiro,3719,
Morogoro,Ulanga,Lupiro,Lupiro,Ulanga,Lupiro,Lupiro,1015,
Morogoro,Ulanga,Lupiro,Igumbiro kati,Ulanga,Lupiro,Igumbiro,464,
Morogoro,Ulanga,Lupiro,Lupiro,Ulanga,Lupiro,Lupiro,5074,
Morogoro,Ulanga,Lupiro,Igota,Ulanga,Lupiro,Igota,1917,
Morogoro,Ulanga,Lupiro,Nakafulu,Ulanga,Lupiro,Nakafulu,1817,
Morogoro,Ulanga,Kichangani,Kichangani,Ulanga,Kichangani,Kichangani,3929,
Morogoro,Ulanga,Kichangani,Idunda,Ulanga,Kichangani,Idunda,2266,
Morogoro,Ulanga,Msogezi,Msongezi,Ulanga,Msogezi,Msogezi,3232,
Morogoro,Ulanga,Msogezi,Mdindo,Ulanga,Msogezi,Mdindo,1310,
Morogoro,Ulanga,Msogezi,Chikuti,Ulanga,Msogezi,Chikuti,1747,
Morogoro,Ulanga,Vigoi,Makanga,Ulanga,Vigoi,Makanga,3105,
Morogoro,Ulanga,Vigoi,Mbagula,Ulanga,Vigoi,Mbagula,1271,
Morogoro,Ulanga,Vigoi,Vigoi,Ulanga,Vigoi,Vigoi,3356,
Morogoro,Ulanga,Vigoi,Epanko,Ulanga,Vigoi,Epanko,3108,
Morogoro,Ulanga,Vigoi,Nawenge,Ulanga,Vigoi,Nawenge,3612,
Morogoro,Ulanga,Mahenge,Safari road,Ulanga,Mahenge,Mahenge,2932,
Morogoro,Ulanga,Mahenge,Mahenge Mjini,Ulanga,Mahenge,Mahenge,1562,
Morogoro,Ulanga,Mahenge,Mawasiliano,Ulanga,Mahenge,Mahenge,2603,
Morogoro,Ulanga,Mahenge,Togo,Ulanga,Mahenge,Mahenge,2426,
Morogoro,Ulanga,Isongo,Uponera,Ulanga,Isongo,Uponera,2586,
Morogoro,Ulanga,Isongo,Isongo,Ulanga,Isongo,Isongo,5395,
Morogoro,Ulanga,Ruaha,Kituti,Ulanga,Ruaha,Kituti,2046,
Morogoro,Ulanga,Ruaha,Ruaha,Ulanga,Ruaha,Ruaha,5141,
Morogoro,Ulanga,Ruaha,Mgolo,Ulanga,Ruaha,Mgolo,1558,
Morogoro,Ulanga,Chirombola,Chirombola,Ulanga,Chirombola,Chirombola,2901,
Morogoro,Ulanga,Chirombola,Mzelezi,Ulanga,Chirombola,Mzelezi,2969,
Morogoro,Ulanga,Sali,Isyaga,Ulanga,Sali,Isyaga,2748,
