"","District","est_dogs","Pop2014","Gr","pred.dogs.per1000pop","pred.dogs.per1000pop.lwr","pred.dogs.per1000pop.upr","HumanDogRatio","HumanDogRatio.upr","HumanDogRatio.lwr","Dog_Hum_Ratio","Dog_Hum_Ratio.lwr","Dog_Hum_Ratio.upr","Numdogs","Numdogs.lwr","Numdogs.upr","MvCI","Ppop.lvst","Ppop.peas"
"kigoma-ujiji","kigoma-ujiji",NA,233039.3728,4,21.075648262428,6.64630554833207,66.8315572390524,47.4481253220912,14.9629911573519,150.459528640081,0.021075648262428,0.00664630554833207,0.0668315572390524,4911.45585242964,1548.85087642047,15574.3841822361,1,-5.80914299031403,-1.42711635564015
"ukerewe","ukerewe",NA,366166.4523,3,23.3104918550908,7.47846257486476,72.6591896511672,42.899137702305,13.7628840178503,133.71732357945,0.0233104918550908,0.00747846257486476,0.0726591896511672,8535.52010394665,2738.36210969655,26605.3577015608,1,-6.90775527898214,-0.29035230100766
"liwale","liwale",2431.92380399717,95071.752,2,23.5163188866469,7.54617080184511,73.2844867284541,42.5236621777493,13.645452736885,132.517541182011,0.0235163188866469,0.00754617080184511,0.0732844867284541,2235.73763714421,717.42767902266,6967.28454769488,1,-6.90775527898214,-0.271808723295491
"kasulu urban","kasulu urban",NA,212429.7044,1,23.5309444184022,7.55097597089128,73.3289772549197,42.4972318245739,13.6371736990633,132.433211793411,0.0235309444184022,0.00755097597089128,0.0733289772549197,4998.671567054,1604.05159342794,15577.2529622169,1,-6.90775527898214,-0.27049724769768
"masasi urban","masasi urban",4590.19953051643,106844.9184,2,24.2356299914506,7.78155194635593,75.4818274210146,41.2615640836554,13.2482219120412,128.509069513864,0.0242356299914506,0.00778155194635593,0.0754818274210146,2589.45390880913,831.41928273376,8064.84969148119,1,-6.90775527898214,-0.208254938820459
"newala","newala",3699.9028102786,209622.3892,1,24.2356299914506,7.78155194635593,75.4818274210146,41.2615640836554,13.2482219120412,128.509069513864,0.0242356299914506,0.00778155194635593,0.0754818274210146,5080.33066257505,1631.18751067904,15822.6810051752,1,-6.90775527898214,-0.208254938820459
"masasi","masasi",5122.88850318894,252977.6593,1,24.3766710062684,7.8274780139161,75.9148844993759,41.022828742401,13.1726473219915,127.755069796702,0.0243766710062684,0.0078274780139161,0.0759148844993759,6166.75317269195,1980.17706618271,19204.769786682,1,-6.90775527898214,-0.196014883925957
"musoma municipal","musoma municipal",NA,139753.8108,2,24.5519681205979,7.82862306209085,76.999382115335,40.7299323251013,12.9871172018255,127.736383789172,0.0245519681205979,0.00782862306209085,0.076999382115335,3431.23110749368,1094.07990624396,10760.9570798634,1,-5.52146091786225,-1.34707364796661
"ruangwa","ruangwa",2135.18447027547,133714.708,1,24.5865510430827,7.89568151869964,76.5606478379928,40.6726424640736,13.0615404681014,126.651511668963,0.0245865510430827,0.00789568151869964,0.0765606478379928,3287.5834934529,1055.76874873392,10237.284669948,1,-6.90775527898214,-0.177931208492662
"kibondo","kibondo",NA,271888.7724,2,24.6560708515081,7.91823653375589,76.7749014875954,40.5579626219655,13.0250899789376,126.29074614492,0.0246560708515081,0.00791823653375589,0.0767749014875954,6703.70883602396,2152.87961073572,20874.2337165932,1,-6.90775527898214,-0.17197526473981
"kigoma rural","kigoma rural",NA,211566,0,24.7392086465573,7.94518595092919,77.0313556206094,40.4216648271471,12.9817266221452,125.862378322694,0.0247392086465573,0.00794518595092919,0.0770313556206094,5233.97541651755,1680.93121089428,16297.2157832299,1,-6.90775527898214,-0.164874643190234
