"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,32374,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32375,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32376,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32377,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32378,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32379,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32380,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32381,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32382,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32383,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32384,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32385,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32386,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32387,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32388,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32389,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32390,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32391,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
1,32392,"Lindi",2,"Liwale",3,"Lilombe",357,"Lilombe",326,"Lilombe",180,0,0
