"","District","Numdogs","Numdogs.lwr","Numdogs.upr"
"142","arusha",31467.0171600545,9663.63944601311,102463.794772442
"143","meru",25742.3247371422,8037.50341235739,82446.90532307
"144","serengeti",25169.2448716459,7904.98153061365,80138.1869085399
"145","morogoro rural",27441.4591076083,8620.26469237351,87356.2129270534
"146","sikonge",17973.1722246545,5620.4768650672,57474.6462928872
"147","kibaha rural",7048.18440443616,2162.0276353135,22976.9974201712
"148","uyui",40133.4051558356,12522.0062042022,128628.766280432
"149","manyoni",30624.0902489249,9531.70411656245,98391.1053160684
"150","singida rural",22439.9765354923,7011.26406497047,71820.5080064355
"151","iringa rural",24396.4160519292,7609.11609906159,78220.0072163743
"152","chamwino",33261.6537295496,10392.8759539668,106451.536006469
"153","babati rural",32883.4028480245,10192.4962771226,106089.632359496
"154","chemba",24451.5202515365,7633.32051814198,78324.6086929451
"155","igunga",41874.2664684201,12838.7363548376,136575.294001388
"156","same",28586.25779109,8859.52502883308,92236.7882972491
"157","mwanga",13770.8553726899,4235.2307662374,44775.9444909813
"158","nzega",54143.0763359951,16583.751754272,176767.763927138
"159","ikungi",31398.7459807016,9616.56871570526,102519.025060419
"160","mkalama",20399.3232745003,6213.68083558849,66970.3515626672
"161","karatu",28147.4505325378,8505.84551479096,93145.2340750786
"162","meatu",37380.3162811064,11289.6133055448,123767.573561557
"163","hanang",35243.0995738002,10547.1411948013,117764.24005597
"164","mbulu",42843.5914543471,12756.9390404161,143888.226077714
"165","simanjiro",27416.3950474086,7551.60785746648,99536.2486483437
"166","longido",22639.0538053034,5844.14071901103,87699.249871272
"167","ngorongoro",32905.2057138287,8406.16630921635,128804.56122814
"168","monduli",32028.5668446417,8693.50148398435,117999.530570222
"169","kiteto",51210.8084839705,14159.1069642792,185219.79614944
