"X","ID","Biter_ID","Freq","prop"
551,30,167,94,0.188
552,31,25,11,0.022
553,31,26,32,0.064
554,31,28,7,0.014
555,31,29,48518,97.036
556,31,30,1262,2.524
557,31,32,49,0.098
558,31,33,1,0.002
559,31,34,4,0.008
560,31,35,2,0.004
561,31,36,1,0.002
562,31,37,2,0.004
563,31,38,3,0.006
564,31,39,6,0.012
565,31,40,3,0.006
566,31,41,3,0.006
567,31,63,9,0.018
568,31,75,1,0.002
569,31,79,9,0.018
570,31,81,73,0.146
571,31,82,2,0.004
572,31,88,2,0.004
573,32,13,5,0.01
574,32,14,7,0.014
575,32,15,18,0.036
576,32,16,6,0.012
577,32,17,15,0.03
578,32,19,6,0.012
579,32,23,2,0.004
580,32,24,5,0.01
581,32,27,2,0.004
582,32,28,4802,9.604
583,32,33,532,1.064
584,32,34,1279,2.558
585,32,35,5122,10.244
586,32,36,5045,10.09
587,32,37,5265,10.53
588,32,38,5315,10.63
589,32,39,5410,10.82
590,32,40,6295,12.59
591,32,41,6516,13.032
592,32,78,63,0.126
593,32,82,913,1.826
594,32,83,72,0.144
595,32,84,1,0.002
596,32,86,1,0.002
597,32,88,3301,6.602
598,32,479,2,0.004
599,33,150,13194,26.388
600,33,151,20103,40.206
601,33,156,2535,5.07
602,33,160,93,0.186
603,33,162,1,0.002
604,33,165,14032,28.064
605,33,190,3,0.006
606,33,484,22,0.044
607,33,485,8,0.016
608,33,486,9,0.018
609,40,35,9597,19.194
610,40,36,9603,19.206
611,40,37,10381,20.762
612,40,38,9928,19.856
613,40,39,10491,20.982
614,41,35,7781,15.562
615,41,36,7978,15.956
616,41,37,8923,17.846
617,41,38,8303,16.606
618,41,39,8697,17.394
619,41,40,8318,16.636
620,39,34,1,0.002
621,39,35,18107,36.214
622,39,36,18144,36.288
623,39,38,13748,27.496
624,37,34,1,0.002
625,37,35,18117,36.234
626,37,36,18011,36.022
627,37,38,13871,27.742
628,38,34,25,0.05
629,38,35,25013,50.026
630,38,36,24962,49.924
631,36,12,1,0.002
632,36,13,283,0.566
633,36,14,139,0.278
634,36,16,11,0.022
635,36,17,99,0.198
636,36,19,138,0.276
637,36,33,1414,2.828
638,36,34,47876,95.752
639,36,65,1,0.002
640,36,84,30,0.06
641,36,86,7,0.014
642,36,90,1,0.002
643,34,12,98,0.196
644,34,13,17751,35.502
645,34,14,7093,14.186
646,34,16,782,1.564
647,34,17,3981,7.962
648,34,19,6234,12.468
649,34,33,9434,18.868
650,34,65,509,1.018
651,34,66,21,0.042
652,34,71,55,0.11
653,34,84,3052,6.104
654,34,86,968,1.936
655,34,90,21,0.042
656,34,151,1,0.002
657,35,12,4,0.008
658,35,13,323,0.646
659,35,14,153,0.306
660,35,16,11,0.022
661,35,17,93,0.186
662,35,19,148,0.296
663,35,33,1403,2.806
664,35,34,47832,95.664
665,35,65,2,0.004
666,35,84,23,0.046
667,35,86,8,0.016
668,46,1,33,0.066
669,46,2,362,0.724
670,46,3,1,0.002
671,46,6,2,0.004
672,46,7,76,0.152
673,46,8,1054,2.108
674,46,9,1587,3.174
675,46,42,250,0.5
676,46,43,203,0.406
677,46,44,123,0.246
678,46,45,1005,2.01
679,46,47,5077,10.154
680,46,49,3,0.006
681,46,50,67,0.134
682,46,51,55,0.11
683,46,52,37,0.074
684,46,53,2,0.004
685,46,54,156,0.312
686,46,56,3698,7.396
687,46,58,259,0.518
688,46,60,35933,71.866
689,46,61,2,0.004
690,46,62,1,0.002
691,46,63,2,0.004
692,46,64,2,0.004
693,46,69,7,0.014
694,46,70,3,0.006
695,45,1,1270,2.54
696,45,3,32,0.064
697,45,6,337,0.674
698,45,7,4774,9.548
699,45,25,18,0.036
700,45,26,65,0.13
701,45,42,7020,14.04
702,45,43,6297,12.594
703,45,44,2458,4.916
704,45,49,16,0.032
705,45,50,6520,13.04
706,45,51,9810,19.62
707,45,53,3996,7.992
708,45,59,7,0.014
709,45,61,12,0.024
710,45,62,28,0.056
711,45,63,4236,8.472
712,45,64,1843,3.686
713,45,69,1245,2.49
714,45,70,16,0.032
715,44,20,12,0.024
716,44,22,3,0.006
717,44,49,380,0.76
718,44,59,34,0.068
719,44,61,9529,19.058
720,44,62,27795,55.59
721,44,70,12247,24.494
722,43,1,8287,16.574
723,43,3,100,0.2
724,43,42,37717,75.434
725,43,44,3822,7.644
726,43,49,8,0.016
727,43,61,18,0.036
728,43,62,35,0.07
729,43,70,13,0.026
730,42,1,25907,51.814
731,42,3,251,0.502
732,42,44,23643,47.286
733,42,49,12,0.024
734,42,61,45,0.09
735,42,62,125,0.25
736,42,70,17,0.034
737,47,1,615,1.23
738,47,3,11,0.022
739,47,6,35,0.07
740,47,7,861,1.722
741,47,22,1,0.002
742,47,25,7,0.014
743,47,26,16,0.032
744,47,27,1,0.002
745,47,42,3600,7.2
746,47,43,2747,5.494
747,47,44,1242,2.484
748,47,45,31982,63.964
749,47,49,80,0.16
750,47,50,4113,8.226
751,47,51,2933,5.866
752,47,53,220,0.44
753,47,59,4,0.008
754,47,61,28,0.056
755,47,62,47,0.094
756,47,63,1006,2.012
757,47,64,365,0.73
758,47,69,83,0.166
759,47,70,3,0.006
760,56,2,3,0.006
761,56,8,4,0.008
762,56,9,9,0.018
763,56,45,1,0.002
764,56,47,11,0.022
765,56,51,12,0.024
766,56,52,259,0.518
767,56,53,19,0.038
768,56,54,14061,28.122
769,56,60,35621,71.242
770,57,2,1,0.002
771,57,4,36,0.072
772,57,7,3,0.006
773,57,8,4,0.008
774,57,9,2,0.004
775,57,42,6,0.012
776,57,43,6,0.012
777,57,44,3,0.006
778,57,45,67,0.134
779,57,46,3419,6.838
780,57,47,130,0.26
781,57,50,33,0.066
782,57,51,118,0.236
783,57,52,779,1.558
784,57,53,192,0.384
785,57,54,2296,4.592
786,57,55,22493,44.986
