"layer","cellID","District","DistrictID","Village","VillageID"
1,1063,"Ngorongoro",1,"Pinyinyi",9
1,1064,"Ngorongoro",1,"Pinyinyi",9
1,1065,"Ngorongoro",1,"Pinyinyi",9
1,1066,"Ngorongoro",1,"Pinyinyi",9
1,1067,"Ngorongoro",1,"Pinyinyi",9
1,1068,"Ngorongoro",1,"Pinyinyi",9
1,1069,"Ngorongoro",1,"Pinyinyi",9
1,1070,"Ngorongoro",1,"Pinyinyi",9
1,1071,"Ngorongoro",1,"Pinyinyi",9
1,1072,"Ngorongoro",1,"Pinyinyi",9
1,1073,"Ngorongoro",1,"Pinyinyi",9
1,1074,"Ngorongoro",1,"Pinyinyi",9
1,1075,"Ngorongoro",1,"Pinyinyi",9
1,1076,"Ngorongoro",1,"Arash",29
1,1077,"Ngorongoro",1,"Arash",29
1,1078,"Ngorongoro",1,"Arash",29
1,1079,"Ngorongoro",1,"Arash",29
1,1080,"Ngorongoro",1,"Arash",29
1,1081,"Ngorongoro",1,"Arash",29
1,1082,"Ngorongoro",1,"Arash",29
1,1083,"Ngorongoro",1,"Arash",29
1,1084,"Ngorongoro",1,"Arash",29
1,1085,"Ngorongoro",1,"Arash",29
1,1086,"Ngorongoro",1,"Arash",29
1,1087,"Ngorongoro",1,"Arash",29
1,1088,"Ngorongoro",1,"Arash",29
1,1089,"Ngorongoro",1,"Arash",29
1,1090,"Ngorongoro",1,"Arash",29
1,1091,"Ngorongoro",1,"Arash",29
1,1092,"Ngorongoro",1,"Arash",29
1,1093,"Ngorongoro",1,"Arash",29
1,1094,"Ngorongoro",1,"Losoito/Maalon",37
1,1095,"Ngorongoro",1,"Losoito/Maalon",37
1,1096,"Ngorongoro",1,"Losoito/Maalon",37
1,1097,"Ngorongoro",1,"Losoito/Maalon",37
1,1098,"Ngorongoro",1,"Malambo",12
1,1099,"Ngorongoro",1,"Malambo",12
1,1100,"Ngorongoro",1,"Malambo",12
1,1101,"Ngorongoro",1,"Malambo",12
1,1102,"Ngorongoro",1,"Malambo",12
1,1103,"Ngorongoro",1,"Malambo",12
1,1104,"Ngorongoro",1,"Pinyinyi",9
1,1105,"Ngorongoro",1,"Pinyinyi",9
1,1106,"Ngorongoro",1,"Pinyinyi",9
1,1107,"Ngorongoro",1,"Pinyinyi",9
1,1108,"Ngorongoro",1,"Pinyinyi",9
1,1109,"Ngorongoro",1,"Pinyinyi",9
1,1110,"Ngorongoro",1,"Pinyinyi",9
1,1111,"Ngorongoro",1,"Pinyinyi",9
1,1112,"Ngorongoro",1,"Pinyinyi",9
1,1113,"Ngorongoro",1,"Pinyinyi",9
1,1114,"Ngorongoro",1,"Pinyinyi",9
1,1115,"Ngorongoro",1,"Pinyinyi",9
1,1116,"Ngorongoro",1,"Pinyinyi",9
1,1117,"Ngorongoro",1,"Pinyinyi",9
1,1118,"Ngorongoro",1,"Pinyinyi",9
1,1119,"Ngorongoro",1,"Arash",29
1,1120,"Ngorongoro",1,"Arash",29
1,1121,"Ngorongoro",1,"Arash",29
1,1122,"Ngorongoro",1,"Arash",29
1,1123,"Ngorongoro",1,"Arash",29
1,1124,"Ngorongoro",1,"Arash",29
1,1125,"Ngorongoro",1,"Arash",29
1,1126,"Ngorongoro",1,"Arash",29
1,1127,"Ngorongoro",1,"Arash",29
1,1128,"Ngorongoro",1,"Arash",29
1,1129,"Ngorongoro",1,"Arash",29
1,1130,"Ngorongoro",1,"Arash",29
1,1131,"Ngorongoro",1,"Arash",29
1,1132,"Ngorongoro",1,"Arash",29
1,1133,"Ngorongoro",1,"Arash",29
1,1134,"Ngorongoro",1,"Arash",29
1,1135,"Ngorongoro",1,"Arash",29
1,1136,"Ngorongoro",1,"Arash",29
1,1137,"Ngorongoro",1,"Arash",29
1,1138,"Ngorongoro",1,"Losoito/Maalon",37
1,1139,"Ngorongoro",1,"Losoito/Maalon",37
1,1140,"Ngorongoro",1,"Arash",29
1,1141,"Ngorongoro",1,"Malambo",12
1,1142,"Ngorongoro",1,"Malambo",12
1,1143,"Ngorongoro",1,"Malambo",12
1,1144,"Ngorongoro",1,"Malambo",12
1,1145,"Ngorongoro",1,"Malambo",12
