"ID","biter_ID","ID_species","Biter_species","ID_Time_diff","Biter_Time_diff","ID_lat","ID_long","Biter_lat","Biter_long","Year","ID_accuracy","Biter_accuracy","Serial_Int","Bite_dist","Species_trans"
186,187,2,2,1359,1329,NA,NA,NA,NA,2014,7,7,30,7660.45525686556,"WW"
181,184,1,1,474,449,NA,NA,NA,NA,2012,7,7,25,8879.84490229284,"DD"
171,72,1,2,494,468,NA,NA,NA,NA,2012,7,7,26,4753.56782079475,"WD"
176,170,2,2,1261,1250,NA,NA,NA,NA,2014,28,7,11,9126.74109710048,"WW"
221,163,1,2,464,429,NA,NA,NA,NA,2012,7,7,35,10792.5654421682,"WD"
200,227,1,1,192,167,NA,NA,NA,NA,2011,7,7,25,5501.40786352,"DD"
170,174,2,2,1250,1081,NA,NA,NA,NA,2013,7,7,169,4071.75277656529,"WW"
175,173,2,2,551,523,NA,NA,NA,NA,2012,7,7,28,7703.55522000469,"WW"
203,190,2,2,54,54,NA,NA,NA,NA,2011,7,7,0,16927.6515081663,"WW"
172,167,2,4,828,791,NA,NA,NA,NA,2013,7,28,37,17625.478912038,"CW"
179,87,1,2,1049,986,NA,NA,NA,NA,2013,7,7,63,16658.1176198235,"WD"
152,155,2,2,429,233,NA,NA,NA,NA,2011,7,7,196,338.139567565252,"WW"
184,152,1,2,449,429,NA,NA,NA,NA,2012,7,7,20,10070.6157457957,"WD"
185,148,4,2,747,531,NA,NA,NA,NA,2012,7,7,216,7218.7371662344,"WC"
187,154,2,2,1329,1200,NA,NA,NA,NA,2014,7,7,129,373.740700597849,"WW"
188,478,2,1,1587,1452,NA,NA,NA,NA,2014,7,7,135,11545.954918241,"DW"
189,165,2,2,157,73,NA,NA,NA,NA,2011,7,7,84,3975.6248613805,"WW"
197,196,1,1,1105,1100,NA,NA,NA,NA,2014,7,7,5,265.616699876306,"DD"
198,197,1,1,1108,1105,NA,NA,NA,NA,2014,7,7,3,0,"DD"
199,198,1,1,1112,1108,NA,NA,NA,NA,2014,7,7,4,0,"DD"
202,285,1,2,1287,1261,NA,NA,NA,NA,2014,7,14,26,21630.5946002203,"WD"
204,284,2,2,1028,896,NA,NA,NA,NA,2013,7,7,132,12407.2585231635,"WW"
223,215,1,1,835,504,NA,NA,NA,NA,2012,7,7,331,6389.87990921241,"DD"
253,254,2,2,1988,1952,NA,NA,NA,NA,2016,7,7,36,101.318916024558,"WW"
257,270,2,1,531,519,NA,NA,NA,NA,2012,7,7,12,5201.26300210131,"DW"
266,309,1,2,114,45,NA,NA,NA,NA,2011,7,7,69,6021.73159021761,"WD"
275,246,1,2,111,111,NA,NA,NA,NA,2011,7,7,0,15939.7926614565,"WD"
276,275,2,1,119,111,NA,NA,NA,NA,2011,7,7,8,2787.51364972972,"DW"
282,280,2,2,366,364,NA,NA,NA,NA,2011,7,7,2,628.234032688397,"WW"
287,419,1,2,439,437,NA,NA,NA,NA,2012,7,7,2,18157.0928644967,"WD"
289,288,1,1,544,544,NA,NA,NA,NA,2012,7,7,0,1362.82577307897,"DD"
292,132,1,1,146,124,NA,NA,NA,NA,2011,7,7,22,19873.3502555636,"DD"
247,252,1,4,659,583,NA,NA,NA,NA,2012,7,7,76,8041.61101938585,"CD"
386,416,2,1,896,887,NA,NA,NA,NA,2013,14,7,9,17201.6590539536,"DW"
390,412,1,1,345,345,NA,NA,NA,NA,2011,7,7,0,9329.62419582566,"DD"
387,386,1,2,1476,896,NA,NA,NA,NA,2013,7,14,580,4688.76863364743,"WD"
388,387,1,1,1678,1476,NA,NA,NA,NA,2015,7,7,202,6981.91098774657,"DD"
391,390,1,1,521,345,NA,NA,NA,NA,2011,7,7,176,326.614197126609,"DD"
389,405,1,2,303,131,NA,NA,NA,NA,2011,7,7,172,8642.98904818721,"WD"
395,397,1,2,310,277,NA,NA,NA,NA,2011,7,7,33,526.736453861169,"WD"
