"layer","cellID","District","DistrictID","Village","VillageID","PA"
1,273,"Serengeti",1,"Nyamitita",16,0
1,274,"Serengeti",1,"Nyamitita",16,0
1,275,"Serengeti",1,"Nyamitita",16,0
1,276,"Serengeti",1,"Marasomoche",72,0
1,277,"Serengeti",1,"Marasomoche",72,0
1,278,"Serengeti",1,"Marasomoche",72,0
1,279,"Serengeti",1,"Nyansurura",73,0
1,280,"Serengeti",1,"Nyansurura",73,0
1,281,"Serengeti",1,"Merenga",74,0
1,282,"Serengeti",1,"Merenga",74,0
1,283,"Serengeti",1,"Merenga",74,0
1,284,"Serengeti",1,"Merenga",74,0
1,285,"Serengeti",1,"Machochwe",23,1
1,286,"Serengeti",1,"Machochwe",23,1
1,287,"Serengeti",1,"Machochwe",23,1
1,288,"Serengeti",1,"Machochwe",23,1
1,289,"Serengeti",1,"Machochwe",23,1
1,290,"Serengeti",1,"Machochwe",23,1
1,291,"Serengeti",1,"Machochwe",23,1
1,292,"Serengeti",1,"Machochwe",23,1
1,293,"Serengeti",1,"Nyamakendo",24,1
1,294,"Serengeti",1,"Nyamakendo",24,1
1,295,"Serengeti",1,"Nyamakendo",24,1
1,296,"Serengeti",1,"Mbalibali",85,1
1,297,"Serengeti",1,"Mbalibali",85,1
1,298,"Serengeti",1,"Mbalibali",85,1
1,299,"Serengeti",1,"Tamkeri",86,1
1,300,"Serengeti",1,"Tamkeri",86,1
1,301,"Serengeti",1,"Tamkeri",86,1
1,302,"Serengeti",1,"Tamkeri",86,1
1,303,"Serengeti",1,"Tamkeri",86,1
1,304,"Serengeti",1,"Tamkeri",86,1
1,305,"Serengeti",1,"Tamkeri",86,1
1,306,"Serengeti",1,"Tamkeri",86,1
1,307,"Serengeti",1,"Tamkeri",86,1
1,308,"Serengeti",1,"Tamkeri",86,1
1,309,"Serengeti",1,"Magatini",2,0
1,310,"Serengeti",1,"Magatini",2,0
1,311,"Serengeti",1,"Magatini",2,0
1,312,"Serengeti",1,"Mesaga",3,0
1,313,"Serengeti",1,"Majimoto",65,0
1,314,"Serengeti",1,"Majimoto",65,0
